Location,Strain,Habitat,Latitude,Longitude,Mean_annual_temperature,Mean_precipitation_driest_quarter,Mean_precipitation_wettest_quarter,Mean_annual_precipitation
Arizona,LG1297,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1323,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1363,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1386,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,CM0018,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0019,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0020,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0021,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0022,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0023,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0024,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0025,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0026,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0027,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0028,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0029,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0030,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0031,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0032,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0033,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0034,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0035,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0036,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0037,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0038,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0039,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0040,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0041,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0042,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0043,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0044,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0045,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0046,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0047,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0048,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0049,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0050,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0051,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0052,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0053,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0054,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0055,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0056,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0058,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0059,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0060,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0061,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0062,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
Arizona,CM0063,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
