Strain,Project,Site,Species,Host family (plant) or order or class (lichen),Plant or Lichen host,Site-Host
LG1190,Arizona,Casa Grande,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Casa Grande_Plant-angiosperm
LG1191,Arizona,Gila Bend,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Gila Bend_Plant-angiosperm
LG1208,Arizona,Ajo,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Ajo_Plant-angiosperm
LG1210,Arizona,Casa Grande,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Casa Grande_Plant-angiosperm
LG1214,Arizona,Sahuarita,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Sahuarita_Plant-angiosperm
LG1223,Arizona,Gila Bend,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Gila Bend_Plant-angiosperm
LG1238,Arizona,Sahuarita,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Sahuarita_Plant-angiosperm
LG1244,Arizona,Casa Grande,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Casa Grande_Plant-angiosperm
LG1245,Arizona,Gila Bend,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Gila Bend_Plant-angiosperm
LG1247,Arizona,Ajo,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Ajo_Plant-angiosperm
LG1262,Arizona,Sahuarita,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Sahuarita_Plant-angiosperm
LG1263,Arizona,Sahuarita,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Sahuarita_Plant-angiosperm
LG1264,Arizona,Sahuarita,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Sahuarita_Plant-angiosperm
LG1271,Arizona,Casa Grande,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Casa Grande_Plant-angiosperm
LG1273,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1274,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1284,Arizona,Sahuarita,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Sahuarita_Plant-angiosperm
LG1286,Arizona,Sahuarita,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Sahuarita_Plant-angiosperm
LG1316,Arizona,Ajo,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Ajo_Plant-angiosperm
LG1317,Arizona,Ajo,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Ajo_Plant-angiosperm
LG1321,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1322,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1323,Arizona,Catalina,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Catalina_Plant-angiosperm
LG1332,Arizona,Sahuarita,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Sahuarita_Plant-angiosperm
LG1346,Arizona,Casa Grande,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Casa Grande_Plant-angiosperm
LG1348,Arizona,Gila Bend,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Gila Bend_Plant-angiosperm
LG1349,Arizona,Ajo,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Ajo_Plant-angiosperm
LG1359,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1361,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1363,Arizona,Catalina,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Catalina_Plant-angiosperm
LG1364,Arizona,Ajo,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Ajo_Plant-angiosperm
LG1374,Arizona,Gila Bend,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Gila Bend_Plant-angiosperm
LG1383,Arizona,Gila Bend,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Gila Bend_Plant-angiosperm
LG1385,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1386,Arizona,Catalina,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Catalina_Plant-angiosperm
LG1387,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1396,Arizona,Casa Grande,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Casa Grande_Plant-angiosperm
LG1412,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1415,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1416,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1417,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1424,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1426,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1431,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1432,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1433,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
SNP002,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP003,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP004,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP005,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP006,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP007,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP008,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP009,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP010,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP011,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP012,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP014,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP015,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP017,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
