Strain,Project,Site,Species,Host family (plant) or order or class (lichen),Plant or Lichen host,Site-Host
LG0956,Arizona,Tucson Mountains,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
LG0957,Arizona,Tucson Mountains,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
LG0960,Arizona,Tucson Mountains,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte
LG0966,Arizona,Casa Grande,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Casa Grande_Plant-gnetophyte
LG1005,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1006,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1007,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1008,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1009,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1010,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1011,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1012,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1013,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1047,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1103,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1105,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1111,Arizona,Catalina,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Catalina_Plant-gnetophyte
LG1123,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1124,Arizona,Picacho Peak,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Picacho Peak_Plant-gnetophyte
LG1179,Arizona,Sahuarita,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Sahuarita_Plant-gnetophyte
LG1213,Arizona,Sahuarita,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Sahuarita_Plant-gnetophyte
LG1243,Arizona,Sahuarita,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Sahuarita_Plant-gnetophyte
LG1296,Arizona,Sahuarita,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Sahuarita_Plant-gnetophyte
LG1318,Arizona,Casa Grande,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Casa Grande_Plant-gnetophyte
LG1350,Arizona,Casa Grande,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Casa Grande_Plant-gnetophyte
LG1388,Arizona,Sahuarita,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Sahuarita_Plant-gnetophyte
LG1390,Arizona,Sahuarita,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Sahuarita_Plant-gnetophyte
LG1406,Arizona,Casa Grande,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Casa Grande_Plant-gnetophyte
LG1413,Arizona,Casa Grande,Ephedra aspera,Ephedraceae,Plant-gnetophyte,Casa Grande_Plant-gnetophyte
LG1142,Arizona,Fort Bowie,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Fort Bowie_Plant-gnetophyte
LG1143,Arizona,Fort Bowie,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Fort Bowie_Plant-gnetophyte
LG1149,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1150,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1151,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1174,Arizona,Fort Bowie,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Fort Bowie_Plant-gnetophyte
LG1176,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1178,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1186,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1187,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1188,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1195,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1196,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1206,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1215,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1282,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1304,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1306,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1326,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1393,Arizona,Dragoon,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Dragoon_Plant-gnetophyte
LG1394,Arizona,Fort Bowie,Ephedra trifurca,Ephedraceae,Plant-gnetophyte,Fort Bowie_Plant-gnetophyte
JM0079A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0079B,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0080,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0081A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0081B1,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0081B2,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0083A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0083B,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0085,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0086,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0087,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0088,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0090A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0090B,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0091,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0092,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0093,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0095,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0098,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0101A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0101B,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0102A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0102B,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0103A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0103B,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0104,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0106,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0107,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0108,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0109,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0110A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0110B,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0111,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0112,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0113A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0113B,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0114,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0115A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0116,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0117,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0118A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0118A-1,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0119,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0120A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0121,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0123,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0125,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0127,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0130A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0130B,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0131A,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0133B,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0134,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0135,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0136,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0137,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0138,Arizona,Santa Rita Experimental Range,Prosopis gladulosa,Fabaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
LG0166,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0168,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0169,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0170,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0171,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0172,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0173,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0174,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0175,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0176,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0177,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0179,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0180,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0181,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0182,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0183,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0184,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0185,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0186,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0187,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0188A,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0188B,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0189,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0190,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0191,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0192,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0193,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0194,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0195,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0196,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0197,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0198,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0199,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0202,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0203,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0204,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0205,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0206,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0208,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0209,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0210,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0211,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0212,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0213,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0214,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0215,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0216,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0217,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0218,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0219,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0220,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0221,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0223,Arizona,Tucson Mountains foothills,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm
LG0239,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0240,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0241,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0242,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0244,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0245,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0246,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0259,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0261,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0264,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0266,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0268,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0270,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0271,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0273,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0274,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0276,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0277,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0278,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0279,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0281,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0283,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0286,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0287,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0289,Arizona,"Tucson, First/River/CAC",Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0342,Arizona,Tucson Mountains,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0343,Arizona,Tucson Mountains,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0345,Arizona,Tucson Mountains,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0346,Arizona,Tucson Mountains,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0347,Arizona,Tucson Mountains,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0348,Arizona,Tucson Mountains,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0349,Arizona,Tucson Mountains,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0350,Arizona,Tucson Mountains,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0351,Arizona,Tucson Mountains,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0352,Arizona,Tucson Mountains,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
