Query sequence,Most common phylum-level assignment,Most common class-level assignment,Most common order-level assignment,Most common family-level assignment,Most common Genus-level assignment,Taxon assignment,Likelihood weight,otu,ITS length
LG0684,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.782295, 0.108923, 0.108444",OTU67,915
LG0685,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.982187,OTU124,1103
LG0686,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.765199, 0.049924, 0.036563, 0.034398, 0.026129, 0.022061, 0.022015",OTU8,297
LG0688,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,"Preussia_minima,Westerdykella_cylindrica","0.650663, 0.175734, 0.145358",OTU28,958
LG0689,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.973865,OTU124,1077
LG0692,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.614188, 0.070355, 0.068445, 0.064343, 0.062436, 0.061879, 0.058156",OTU90,255
LG0693,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.964539,OTU124,1039
LG0694,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.968963,OTU124,1093
LG0695,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_rabiei,0.968148,OTU67,938
LG0696,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,"Neocylindroseptoria_pistaciae,Dothidea_insculpta,Delphinella_strobiligena,Sydowia_polyspora,Dothideomycetes_sp_TRN11,Stylodothis_puccinioides,Dothidea_hippophaeos,Dothiora_cannabinae,Dothiora_ceratoniae,Dothidea_ribesia,Dothidea_sambuci","0.353982, 0.335769, 0.310176",OTU126,1101
LG0697,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.203854, 0.136132, 0.134020, 0.132482, 0.132341, 0.130484, 0.127813",OTU8,255
LG0699,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,"Neocylindroseptoria_pistaciae,Dothidea_insculpta,Delphinella_strobiligena,Sydowia_polyspora,Dothideomycetes_sp_TRN11,Stylodothis_puccinioides,Dothidea_hippophaeos,Dothiora_cannabinae,Dothiora_ceratoniae,Dothidea_ribesia,Dothidea_sambuci","0.362439, 0.334787, 0.302711",OTU126,1049
LG0700,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.962129,OTU124,992
LG0701,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Septoriella,"Tintelnotia_opuntiae,Ampelomyces_quisqualis,Ophiosphaerella_herpotricha,Pleosporales_sp,Allophaeosphaeria_clematidis,Setophoma_sacchari,Septoriella_leuchtmannii,Tintelnotia_destructans,Juncaceicola_alpina,Septoriella_hirta,Septoriella_hubertusii","0.501844, 0.187322, 0.131999, 0.075858, 0.028134, 0.025310",OTU127,1077
LG0702,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.748866, 0.125561, 0.125227",OTU67,940
LG0703,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.925681, 0.074038",OTU93,1066
LG0705,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.392895, 0.178089, 0.168037, 0.167973, 0.024284, 0.023602",OTU67,799
LG0707,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,"Pyronema_domesticum,Lasiobolidium_spirale,Aleuria_aurantia,Pyronema_omphalodes,Monascella_botryosa,Melastiza_cornubiensis,Melastiza_contorta,Trichophaea_hemisphaerioides,Genea_arenaria,Byssonectria_terrestris,Trichophaea_hybrida","0.125788, 0.108716, 0.066158, 0.048272, 0.046608, 0.046214, 0.045131, 0.042116, 0.041188, 0.041187, 0.041187",OTU128,587
LG0708,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Paurocotylis,Paurocotylis_pila,"0.420584, 0.110008, 0.073980, 0.058769, 0.053252, 0.053248, 0.040583, 0.034762, 0.027770, 0.027770, 0.027770",OTU129,584
LG0710,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.991386,OTU130,935
LG0714,Ascomycota,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Lindra,"Lulwoidea_lignoarenaria,Pleurotheciella_rivularia,Melanotrigonum_ovale,Lindra_thalassiae,Lulworthia_grandispora,Adelosphaeria_catenata,Lulwoana_uniseptata,Pleurothecium_recurvatum,Phaeoisaria_fasciculata,Pleurothecium_semifecundum,Lindra_obtusa","0.242684, 0.202001, 0.200368, 0.029784, 0.028143, 0.023212, 0.021678, 0.020508, 0.014838, 0.014760, 0.012062",OTU96,608
LG0715A,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.544165, 0.186004, 0.071432, 0.056788, 0.053483, 0.019315, 0.019298",OTU67,986
LG0715B,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.395652, 0.167020, 0.104786, 0.088318, 0.085209, 0.082098, 0.032189",OTU67,949
LG0716,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,"Neocylindroseptoria_pistaciae,Dothidea_insculpta,Delphinella_strobiligena,Sydowia_polyspora,Dothideomycetes_sp_TRN11,Stylodothis_puccinioides,Dothidea_hippophaeos,Dothiora_cannabinae,Dothiora_ceratoniae,Dothidea_ribesia,Dothidea_sambuci","0.388474, 0.327697, 0.283799",OTU126,996
LG0717,Ascomycota,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Lindra,"Lulwoidea_lignoarenaria,Pleurotheciella_rivularia,Melanotrigonum_ovale,Lindra_thalassiae,Lulworthia_grandispora,Adelosphaeria_catenata,Lulwoana_uniseptata,Pleurothecium_recurvatum,Phaeoisaria_fasciculata,Pleurothecium_semifecundum,Lindra_obtusa","0.033079, 0.032944, 0.032874, 0.025245, 0.021449, 0.018104, 0.017844, 0.015051, 0.012607, 0.012607, 0.012607",OTU96,255
LG0722,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.97211,OTU93,1074
LG0723,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.973611,OTU124,1084
LG0724,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,"Alternaria_cerealis,Alternaria_alstroemeriae,Alternaria_iridiaustralis,Alternaria_burnsii,Alternaria_sp,Alternaria_eichhorniae,Alternaria_daucifolii,Alternaria_alternata,Alternaria_arborescens,Alternaria_senecionicola,Alternaria_betae_kenyensis","0.060104, 0.057130, 0.057125, 0.057125, 0.057071, 0.052463, 0.052463, 0.051943, 0.051928, 0.051707, 0.051707",OTU21,1043
LG0726,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729886, 0.134762, 0.134708",OTU67,1024
LG0727,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.785023, 0.107604, 0.106994",OTU67,920
LG0730,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,"Cladosporium_cladosporioides,Cladosporium_allicinum",0.958672,OTU1,545
LG0731,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,"Cladosporium_cladosporioides,Cladosporium_allicinum",0.958668,OTU1,550
LG0732,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,"Cladosporium_cladosporioides,Cladosporium_allicinum",0.956523,OTU118,917
LG0733,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,"Cladosporium_cladosporioides,Cladosporium_allicinum",0.956383,OTU118,945
LG0734,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,"Cladosporium_cladosporioides,Cladosporium_allicinum",0.956383,OTU118,945
LG0735,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,"Cercophora_mirabilis,Bombardia_bombarda",0.966026,OTU131,947
LG0736,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,"Fusarium_acutatum,Fusarium_napiforme,Fusarium_fujikuroi,Fusarium_nygamai,Fusarium_ficicrescens",0.981708,OTU132,975
LG0737,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,"Fusarium_acutatum,Fusarium_napiforme,Fusarium_fujikuroi,Fusarium_nygamai,Fusarium_ficicrescens",0.981866,OTU132,973
LG0738,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,"Fusarium_acutatum,Fusarium_napiforme,Fusarium_fujikuroi,Fusarium_nygamai,Fusarium_ficicrescens",0.981866,OTU132,973
LG0739,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,"Fusarium_acutatum,Fusarium_napiforme,Fusarium_fujikuroi,Fusarium_nygamai,Fusarium_ficicrescens",0.976883,OTU133,917
LG0740,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,"Fusarium_acutatum,Fusarium_napiforme,Fusarium_fujikuroi,Fusarium_nygamai,Fusarium_ficicrescens",0.982011,OTU132,972
LG0743,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,"Neocylindroseptoria_pistaciae,Dothidea_insculpta,Aureobasidium_lini,Delphinella_strobiligena,Dothidea_hippophaeos,Stylodothis_puccinioides,Dothiora_cannabinae,Sydowia_polyspora,Dothiora_ceratoniae,Dothidea_ribesia,Dothidea_sambuci","0.336599, 0.310656, 0.308046",OTU114,255
LG0744,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,"Microascus_longirostris,Microascus_hyalinus,Microascus_trigonosporus",1,OTU134,1044
LG0745,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,unclassified,"Dothideomycetes_sp_TRN43,Cladosporium_sphaerospermum,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Rachicladosporium_mcmurdoi,Dothideomycetes_sp_TRN42,Cladosporium_fusiforme,Rachicladosporium_inconspicuum_1,Dothideomycetes_sp_TRN44,Cladosporium_allicinum","0.552866, 0.288672, 0.080686, 0.059843",OTU96,1000
LG0746,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999996,OTU75,255
LG0747,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_melanogenum,"0.923956, 0.074380",OTU93,1064
LG0748,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.834365, 0.086535, 0.079053",OTU67,540
LG0749,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.835237, 0.086146, 0.078569",OTU67,535
LG0751,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,"Anthostomella_torosa,Microdochium_colombiense,Microdochium_trichocladiopsis,Arthrinium_puccinioides,Microdochium_nivale,Kirstenboschia_diospyri,Microdochium_phragmitis,Microdochium_citrinidiscum,Microdochium_tainanense,Microdochium_neoqueenslandicum,Microdochium_bolleyi","0.620462, 0.234504, 0.136366",OTU135,929
LG0753,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.219417, 0.150525, 0.144587, 0.123674, 0.123504, 0.120129, 0.118162",OTU93,255
LG0755,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,"Schizothecium_vesticola,Cercophora_caudata,Jugulospora_rotula","0.214943, 0.200146, 0.194885, 0.194885, 0.194885",OTU123,741
LG0756,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,"Neocylindroseptoria_pistaciae,Dothidea_insculpta,Delphinella_strobiligena,Dothidea_hippophaeos,Stylodothis_puccinioides,Dothiora_cannabinae,Sydowia_polyspora,Dothiora_ceratoniae,Dothidea_ribesia,Dothidea_sambuci","0.784484, 0.174467",OTU136,1102
LG0757,Ascomycota,Pneumocystidomycetes,Pneumocystidales,Pneumocystidaceae,Pneumocystis,"Pneumocystis_carinii,Schizosaccharomyces_pombe","0.483249, 0.354425, 0.136762",OTU137,1182
LG0758,Ascomycota,Pneumocystidomycetes,Pneumocystidales,Pneumocystidaceae,Pneumocystis,"Pneumocystis_carinii,Schizosaccharomyces_pombe","0.489510, 0.316269, 0.187085",OTU138,1175
LG0759,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.971602,OTU42,915
LG0760,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.925681, 0.074038",OTU93,1081
LG0762,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Xenodidymella,Xenodidymella_asphodeli,"0.335091, 0.332988, 0.331514",OTU67,255
LG0763,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Xenodidymella,Xenodidymella_asphodeli,"0.335091, 0.332988, 0.331514",OTU67,255
LG0765,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.747820, 0.126025, 0.125735",OTU67,944
LG0767,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_melanogenum,"0.926373, 0.072019",OTU93,1075
LG0768,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Pestalotiopsis,"Pestalotiopsis_vismiae,Seiridium_cardinale,Discostroma_botan,Pseudopestalotiopsis_theae","0.328556, 0.328290, 0.328247",OTU139,509
LG0769,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Pestalotiopsis,"Pestalotiopsis_vismiae,Seiridium_cardinale,Discostroma_botan,Pseudopestalotiopsis_theae","0.312091, 0.311229, 0.310812, 0.033774",OTU139,949
LG0770,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Pestalotiopsis,"Pestalotiopsis_vismiae,Seiridium_cardinale,Discostroma_botan,Pseudopestalotiopsis_theae","0.372958, 0.313330, 0.304968",OTU139,978
LG0771,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.579854, 0.063021, 0.061614, 0.057584, 0.055912, 0.055795, 0.052644, 0.032395",OTU90,255
LG0772,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Septoriella,Septoriella_poae,"0.468133, 0.132898, 0.080715, 0.080410, 0.074569, 0.037834, 0.024640, 0.024049, 0.023005, 0.014310",OTU104,988
LG0773,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.252443, 0.212225, 0.212184, 0.093309, 0.090497, 0.090393",OTU67,875
LG0774,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.778594, 0.110642, 0.110309",OTU67,926
LG0775B,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Ovatospora,Ovatospora_senegalensis,0.99993,OTU140,255
LG0776,Ascomycota,Sordariomycetes,Hypocreales,unclassified,Acremonium,Acremonium_sclerotigenum,1,OTU141,1001
LG0777,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_brunneus,"0.481237, 0.224174, 0.223946, 0.012394, 0.012290",OTU142,255
LG0779,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.994303,OTU42,983
LG0780,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_melanogenum,0.997263,OTU93,1019
LG0781,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.165819, 0.139644, 0.113651, 0.106796, 0.093687, 0.092771, 0.084514, 0.072214, 0.033689, 0.029162, 0.026213",OTU5,487
LG0783,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Ovatospora,"Ovatospora_pseudomollicella,Ovatospora_mollicella","0.385585, 0.307208, 0.307207",OTU143,1027
LG0784,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Ovatospora,"Ovatospora_pseudomollicella,Ovatospora_mollicella","0.357487, 0.321257, 0.321256",OTU143,936
LG0785,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Ovatospora,"Ovatospora_pseudomollicella,Ovatospora_mollicella","0.379998, 0.310002, 0.310000",OTU143,1045
LG0786,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Ovatospora,"Ovatospora_pseudomollicella,Ovatospora_mollicella","0.365040, 0.317481, 0.317479",OTU143,963
LG0787,Ascomycota,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Lindra,"Lulwoidea_lignoarenaria,Pleurotheciella_rivularia,Melanotrigonum_ovale,Lindra_thalassiae,Lulworthia_grandispora,Adelosphaeria_catenata,Lulwoana_uniseptata,Pleurothecium_recurvatum,Phaeoisaria_fasciculata,Pleurothecium_semifecundum,Lindra_obtusa","0.035465, 0.035221, 0.035206, 0.030643, 0.025650, 0.018872, 0.018573, 0.015726, 0.012586, 0.012586, 0.012586",OTU96,255
LG0789,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,"Schizothecium_vesticola,Cercophora_caudata,Jugulospora_rotula","0.401344, 0.133486, 0.108855, 0.108855, 0.108855, 0.084031, 0.029183",OTU97,909
LG0790,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_namibiae,"0.946253, 0.027849",OTU66,1082
LG0792,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.509546, 0.139200, 0.104938, 0.097237, 0.031361, 0.031136, 0.029990, 0.014330",OTU67,950
LG0793,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_allahabadensis,"0.303754, 0.215239, 0.101197, 0.101104, 0.074866, 0.073273, 0.046324, 0.034870",OTU142,255
LG0794A,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_melanogenum,0.998142,OTU93,1065
LG0794B,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.981909,OTU90,1066
LG0795,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium,"Pseudocamarosporium_propinquum,Pseudocamarosporium_corni,Pseudocamarosporium_piceae,Pseudocamarosporium_lonicerae","0.705983, 0.171739, 0.119815",OTU72,534
LG0796,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_melanogenum,0.998142,OTU93,1064
LG0797,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.912182, 0.087590",OTU90,1049
LG0798,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_brunneus,"0.259798, 0.173821, 0.173724, 0.136148, 0.118494, 0.116739",OTU142,255
LG0799,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.943185, 0.056599",OTU93,1081
LG0800,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.995243,OTU93,534
LG0801,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,"Peziza_lobulata,Peziza_praetervisa","0.334508, 0.332786, 0.332707",OTU144,1096
LG0802,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_brunneus,"0.259818, 0.173837, 0.173739, 0.136130, 0.118477, 0.116723",OTU142,255
LG0803,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,"Cladosporium_cladosporioides,Cladosporium_allicinum",0.955961,OTU118,969
LG0804,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.835794, 0.085862, 0.078291",OTU67,480
LG0805,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.330813, 0.330571, 0.328358",OTU145,255
LG0806,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,Nothophoma_infossa,"0.729607, 0.134922, 0.134867",OTU67,1038
LG0807,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.616597, 0.167735, 0.063853, 0.059978, 0.020552, 0.020534, 0.019173",OTU67,1023
LG0808,Ascomycota,Sordariomycetes,Hypocreales,unclassified,Acremonium,Acremonium_sclerotigenum,1,OTU141,981
LG0809,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.573092, 0.156811, 0.077433, 0.059587, 0.056340, 0.019260, 0.019242",OTU67,1028
LG0810,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.544482, 0.139621, 0.079817, 0.072898, 0.069405, 0.023343, 0.023322",OTU5,1009
LG0811,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_pisi,"0.802745, 0.108105, 0.042100",OTU5,1021
LG0812,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.543161, 0.139856, 0.080090, 0.073406, 0.069517, 0.023368, 0.023348",OTU5,1007
LG0814,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.572636, 0.156177, 0.078827, 0.060177, 0.056571, 0.018876, 0.018859",OTU67,1040
LG0817,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.614709, 0.070258, 0.068353, 0.064254, 0.062348, 0.061797, 0.058082",OTU90,255
LG0818,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_pisi,"0.372519, 0.206250, 0.127574, 0.127356, 0.068389, 0.054456",OTU5,974
LG0819,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.572899, 0.156545, 0.078035, 0.059840, 0.056443, 0.019094, 0.019077",OTU67,1029
LG0820,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.521592, 0.172675, 0.091321, 0.068540, 0.054808, 0.029758, 0.015034",OTU67,968
LG0822,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Pestalotiopsis,"Pestalotiopsis_vismiae,Seiridium_cardinale,Discostroma_botan,Pseudopestalotiopsis_theae","0.338610, 0.332009, 0.327033",OTU92,965
LG0823,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_melanogenum,"0.908817, 0.089433",OTU93,1063
LG0824,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.992806,OTU90,1074
LG0826,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Xenodidymella,Xenodidymella_asphodeli,"0.335091, 0.332988, 0.331514",OTU145,255
LG0828A,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.992948,OTU90,1080
LG0828B,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.618351, 0.069584, 0.067697, 0.063631, 0.061742, 0.061222, 0.057572",OTU90,255
LG0828C,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum","0.942823, 0.057026",OTU90,1087
LG0829,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.546119, 0.185362, 0.070702, 0.056600, 0.053372, 0.019282, 0.019265",OTU67,989
LG0830,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.318952, 0.185204, 0.154481, 0.076422, 0.054253, 0.054164, 0.021545, 0.021351, 0.015274, 0.014049, 0.013912",OTU67,593
LG0831,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,"Phoma_neerlandica,Ascochyta_rabiei,Phoma_herbarum","0.394697, 0.167610, 0.104679, 0.088379, 0.085540, 0.082121, 0.032242",OTU67,947
LG0832,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_pisi,"0.477157, 0.149271, 0.075996, 0.065357, 0.051809, 0.048220, 0.039215, 0.033129, 0.015708",OTU5,535
